MatchId,market_normalised,Player,Option,legs,first_price,last_price,fixture,kickoff,turnover_within,currencies,currency,distinct_uids,turnover_is_mixed_currency,implied_prob_move,direction,is_sharp_move
33890304,Match fouls,Faltas durante el partido,25 or more,18,2.7,1.76,Netherlands - Japan,2026-06-14 20:00:08,528.73,1,EUR,5,False,0.5340909090909093,steamer,True
36966550,Team corners,Corners equipo,Curaçao 3 or more,36,3.53,2.31,Ecuador - Curaçao,2026-06-21 00:00:04,,2,,31,True,0.5281385281385281,steamer,True
36966612,Match shots on target,Remates a puerta durante el partido,12 or more,10,2.97,1.95,France - Iraq,2026-06-22 21:00:42,,2,,7,True,0.5230769230769234,steamer,True
36024518,Team corners,Corners equipo,Norway 11 or more,6,6.55,4.33,Iraq - Norway,2026-06-16 22:00:57,,2,,3,True,0.5127020785219398,steamer,True
33890299,Team corners,Corners equipo,Belgium 8 or more,11,3.03,2.01,Belgium - Egypt,2026-06-15 19:00:29,,2,,10,True,0.5074626865671644,steamer,True
36966593,Match shots on target,Remates a puerta durante el partido,10 or more,5,2.95,1.96,Belgium - Iran,2026-06-21 19:00:03,,2,,4,True,0.5051020408163266,steamer,True
33890416,Match,Partido,Draw y Both teams to score in both halves,6,61.0,41.0,France - Senegal,2026-06-16 19:02:47,,2,,4,True,0.4878048780487805,steamer,True
36966640,Match,Partido,Over 2.5 goals y Cristiano Ronaldo 2 or more shots on target,6,2.75,1.87,Portugal - Uzbekistan,2026-06-23 17:00:06,,2,,5,True,0.47058823529411736,steamer,True
33890299,Match corners,Corners durante el partido,11 or more,9,2.72,1.85,Belgium - Egypt,2026-06-15 19:00:29,,2,,9,True,0.4702702702702702,steamer,True
36966549,Match throw-ins,Saques de banda durante el partido,37 or more,11,2.66,1.81,Netherlands - Sweden,2026-06-20 17:00:05,,2,,7,True,0.4696132596685085,steamer,True
36024492,Match throw-ins,Saques de banda durante el partido,43 or more,21,2.66,1.81,Australia - Turkey,2026-06-14 04:00:30,,2,,8,True,0.4696132596685085,steamer,True
33890299,Match,Partido,Over 2.5 goals y Over 9.5 corners,8,3.83,2.61,Belgium - Egypt,2026-06-15 19:00:29,1.71,1,EUR,2,False,0.4674329501915711,steamer,True
33890291,Match throw-ins,Saques de banda durante el partido,36 or more,6,2.49,1.71,Brazil - Morocco,2026-06-13 22:04:18,,2,,4,True,0.4561403508771931,steamer,True
36024518,Team shots on target,Remates a puerta equipo,Norway 7 or more,10,2.37,1.63,Iraq - Norway,2026-06-16 22:00:57,390.08,1,EUR,9,False,0.4539877300613499,steamer,True
33890299,Home-side combo (bet builder),Bélgica,"Belgium win, Over 2.5 goals y Over 8.5 corners",15,4.27,2.94,Belgium - Egypt,2026-06-15 19:00:29,129.85999999999999,1,EUR,12,False,0.4523809523809523,steamer,True
33890220,Fouls Won (Star Substitute),Faltas recibidas Luis Diaz(Suplente Estrella),3 or more,5,3.03,2.09,Uzbekistan - Colombia,2026-06-18 02:00:00,100.5,1,EUR,4,False,0.4497607655502394,steamer,True
36966638,To score 2 or more goals (Star Substitute),Marcar 2 goles o más (Suplente Estrella),Harry Kane,303,3.98,2.75,England - Ghana,2026-06-23 20:00:08,,2,,210,True,0.44727272727272743,steamer,True
36966472,Team corners,Corners equipo,Qatar 3 or more,41,2.33,1.61,Canada - Qatar,2026-06-18 22:00:44,,2,,29,True,0.4472049689440992,steamer,True
36966590,Saves (Star Substitute),Paradas Vozinha (Suplente Estrella),5 or more,22,3.23,2.24,Uruguay - Cape Verde,2026-06-21 22:00:33,,2,,21,True,0.44196428571428553,steamer,True
36971426,Team corners,Corners equipo,Paraguay 5 or more,10,3.2,2.22,Turkey - Paraguay,2026-06-20 03:00:03,,2,,9,True,0.44144144144144126,steamer,True
